hazard_id,HAZARD_BEGIN_DATE,HAZARD_END_DATE,HAZARD_TYPE_COMBO,NAME,POSTAL_CODE,FIPS_CODE,INJURIES,FATALITIES,PROPERTY_DAMAGE,CROP_DAMAGE,REMARKS,
9318282,4/27/2011,4/27/2011,Tornado,Catoosa                                                                                                                                               ,GA,"13047",30.00,8.00,25000000.00,0.00,,
9320676,4/27/2011,4/27/2011,Tornado,Spalding                                                                                                                                              ,GA,"13255",0.00,2.00,25000000.00,0.00,,
9318281,4/27/2011,4/27/2011,Tornado,Dade                                                                                                                                                  ,GA,"13083",25.00,2.00,20000000.00,0.00,,
9318726,4/27/2011,4/27/2011,Severe Storm/Thunder Storm - Wind,Floyd                                                                                                                                                 ,GA,"13115",4.00,0.00,20000000.00,0.00,,
9328568,9/5/2011,9/5/2011,Tornado,Cherokee                                                                                                                                              ,GA,"13057",1.00,0.00,17000000.00,0.00,,
9318280,4/27/2011,4/27/2011,Tornado,Bartow                                                                                                                                                ,GA,"13015",25.00,0.00,15000000.00,0.00,,
9425601,3/2/2012,3/2/2012,Tornado,Paulding                                                                                                                                              ,GA,"13223",0.00,0.00,11000000.00,0.00,"NCDC_Tornado",
9318287,4/27/2011,4/28/2011,Tornado,Lamar                                                                                                                                                 ,GA,"13171",12.00,2.00,10000000.00,0.00,,
9318730,4/27/2011,4/27/2011,Tornado,Troup                                                                                                                                                 ,GA,"13285",6.00,0.00,10000000.00,0.00,,
9429888,6/4/2012,6/4/2012,Hail,Liberty                                                                                                                                               ,GA,"13179",0.00,0.00,8750000.00,0.00,"NCDC_Hail",
9318288,4/27/2011,4/27/2011,Tornado,Pickens                                                                                                                                               ,GA,"13227",0.00,0.00,8000000.00,0.00,,
9318284,4/27/2011,4/27/2011,Tornado,Polk                                                                                                                                                  ,GA,"13233",0.00,0.00,7000000.00,0.00,,
9318290,4/28/2011,4/28/2011,Tornado,Morgan                                                                                                                                                ,GA,"13211",0.00,0.00,7000000.00,0.00,,
9315118,3/26/2011,3/26/2011,Hail,Coweta                                                                                                                                                ,GA,"13077",0.00,0.00,6530000.00,0.00,,
9318292,4/27/2011,4/27/2011,Tornado,Meriwether                                                                                                                                            ,GA,"13199",0.00,0.00,6000000.00,0.00,,
9240825,11/30/2010,11/30/2010,Tornado,Gwinnett                                                                                                                                              ,GA,"13135",0.00,0.00,5000000.00,0.00,,
9317088,4/27/2011,4/27/2011,Tornado,Rabun                                                                                                                                                 ,GA,"13241",0.00,1.00,5000000.00,0.00,,
9318285,4/27/2011,4/27/2011,Tornado,Walker                                                                                                                                                ,GA,"13295",25.00,0.00,5000000.00,0.00,,
9318724,4/28/2011,4/28/2011,Tornado,Monroe                                                                                                                                                ,GA,"13207",10.00,0.00,5000000.00,0.00,,
9318727,4/27/2011,4/27/2011,Tornado,Floyd                                                                                                                                                 ,GA,"13115",4.00,0.00,5000000.00,0.00,,
9418576,3/15/2012,3/15/2012,Hail,Forsyth                                                                                                                                               ,GA,"13117",0.00,0.00,4760000.00,0.00,"NCDC_Hail",
9317890,4/15/2011,4/15/2011,Hail,Fulton                                                                                                                                                ,GA,"13121",0.00,0.00,4270000.00,0.00,,
9424640,1/21/2012,1/21/2012,Hail,Fulton                                                                                                                                                ,GA,"13121",0.00,0.00,3870000.00,0.00,"NCDC_Hail",
9315131,3/26/2011,3/26/2011,Hail,Cobb                                                                                                                                                  ,GA,"13067",0.00,0.00,3810000.00,0.00,,
9425597,3/2/2012,3/2/2012,Hail,Cobb                                                                                                                                                  ,GA,"13067",0.00,0.00,3758000.00,0.00,"NCDC_Hail",
9323513,6/15/2011,6/15/2011,Hail,Douglas                                                                                                                                               ,GA,"13097",0.00,0.00,3200000.00,0.00,,
9317893,4/15/2011,4/15/2011,Hail,Gwinnett                                                                                                                                              ,GA,"13135",0.00,0.00,3150000.00,0.00,,
9328567,9/5/2011,9/5/2011,Tornado,Pickens                                                                                                                                               ,GA,"13227",0.00,0.00,3000000.00,0.00,,
